# episode,score
8.000000000000000000e+01,1.973999955877661705e+01
8.100000000000000000e+01,1.827549959151074432e+01
8.200000000000000000e+01,1.907199957370757915e+01
8.300000000000000000e+01,1.907999957352876663e+01
8.400000000000000000e+01,2.089799953289330148e+01
8.500000000000000000e+01,1.959349956205114651e+01
8.600000000000000000e+01,2.217249950440600514e+01
8.700000000000000000e+01,2.416549945985898518e+01
8.800000000000000000e+01,2.161849951678886939e+01
8.900000000000000000e+01,1.763949960572644926e+01
9.000000000000000000e+01,1.959699956197291471e+01
9.100000000000000000e+01,1.875299958083778762e+01
9.200000000000000000e+01,2.055049954066053175e+01
9.300000000000000000e+01,2.123749952530488372e+01
9.400000000000000000e+01,1.780499960202723742e+01
9.500000000000000000e+01,1.711699961740523435e+01
9.600000000000000000e+01,1.751299960855394744e+01
9.700000000000000000e+01,1.800599959753453660e+01
9.800000000000000000e+01,1.387799968980252707e+01
9.900000000000000000e+01,1.652799963057041310e+01
1.000000000000000000e+02,1.242399972230196070e+01
1.010000000000000000e+02,1.552749965293332934e+01
1.020000000000000000e+02,1.648199963159859038e+01
1.030000000000000000e+02,1.338149970090016794e+01
1.040000000000000000e+02,1.182449973570182955e+01
1.050000000000000000e+02,1.321799970455467665e+01
1.060000000000000000e+02,1.590699964445084369e+01
1.070000000000000000e+02,1.879949957979842878e+01
1.080000000000000000e+02,1.770499960426241159e+01
1.090000000000000000e+02,2.227899950202554535e+01
1.100000000000000000e+02,2.029299954641610526e+01
1.110000000000000000e+02,1.785799960084259652e+01
1.120000000000000000e+02,1.787849960038438368e+01
1.130000000000000000e+02,2.198749950854107738e+01
1.140000000000000000e+02,1.927249956922605634e+01
1.150000000000000000e+02,2.130649952376261425e+01
1.160000000000000000e+02,2.283349948963150311e+01
1.170000000000000000e+02,2.074799953624606275e+01
1.180000000000000000e+02,2.204449950726702667e+01
1.190000000000000000e+02,2.604649941781535816e+01
1.200000000000000000e+02,2.808349937228485871e+01
1.210000000000000000e+02,2.354549947371706509e+01
1.220000000000000000e+02,2.389049946600571417e+01
1.230000000000000000e+02,2.276549949115142368e+01
1.240000000000000000e+02,2.329949947921559072e+01
1.250000000000000000e+02,2.013999954983592033e+01
1.260000000000000000e+02,1.706749961851164699e+01
1.270000000000000000e+02,2.144999952055513859e+01
1.280000000000000000e+02,1.832299959044903659e+01
1.290000000000000000e+02,2.076399953588843417e+01
1.300000000000000000e+02,1.924049956994131350e+01
1.310000000000000000e+02,2.025299954731017493e+01
1.320000000000000000e+02,2.239649949939921569e+01
1.330000000000000000e+02,2.538349943263456154e+01
1.340000000000000000e+02,2.510999943874776363e+01
1.350000000000000000e+02,2.259399949498474669e+01
1.360000000000000000e+02,2.335199947804212428e+01
1.370000000000000000e+02,2.298649948621168804e+01
1.380000000000000000e+02,2.116399952694773745e+01
1.390000000000000000e+02,2.288449948849156357e+01
1.400000000000000000e+02,2.360349947242066193e+01
1.410000000000000000e+02,2.273699949178844548e+01
1.420000000000000000e+02,2.627399941273033690e+01
1.430000000000000000e+02,2.648249940806999803e+01
1.440000000000000000e+02,2.780249937856569886e+01
1.450000000000000000e+02,3.079949931157752729e+01
1.460000000000000000e+02,3.214849928142503188e+01
1.470000000000000000e+02,3.107849930534139204e+01
1.480000000000000000e+02,2.736149938842281770e+01
1.490000000000000000e+02,2.891499935369938612e+01
1.500000000000000000e+02,3.189249928714707494e+01
1.510000000000000000e+02,3.043499931972473860e+01
1.520000000000000000e+02,2.584249942237511277e+01
1.530000000000000000e+02,2.834249936649575830e+01
1.540000000000000000e+02,2.851199936270713664e+01
1.550000000000000000e+02,2.463649944933131408e+01
1.560000000000000000e+02,2.557649942832067680e+01
1.570000000000000000e+02,2.599199941903352595e+01
1.580000000000000000e+02,2.737449938813224293e+01
1.590000000000000000e+02,2.621699941400438405e+01
1.600000000000000000e+02,2.434049945594743036e+01
1.610000000000000000e+02,2.529549943460151695e+01
1.620000000000000000e+02,2.382049946757033609e+01
1.630000000000000000e+02,2.294499948713928461e+01
1.640000000000000000e+02,2.646049940856173777e+01
1.650000000000000000e+02,2.499149944139644575e+01
1.660000000000000000e+02,2.725599939078092504e+01
1.670000000000000000e+02,2.819349936982616711e+01
1.680000000000000000e+02,2.759849938312545348e+01
1.690000000000000000e+02,2.807699937243014432e+01
1.700000000000000000e+02,2.822649936908856105e+01
1.710000000000000000e+02,2.437099945526570011e+01
1.720000000000000000e+02,2.928699934538453675e+01
1.730000000000000000e+02,3.038799932077527188e+01
1.740000000000000000e+02,3.029299932289868735e+01
1.750000000000000000e+02,3.155399929471314024e+01
1.760000000000000000e+02,2.894899935293942761e+01
1.770000000000000000e+02,3.151199929565191127e+01
1.780000000000000000e+02,3.174149929052218866e+01
1.790000000000000000e+02,2.990349933160468865e+01
1.800000000000000000e+02,2.904099935088306594e+01
1.810000000000000000e+02,3.244149927487596585e+01
1.820000000000000000e+02,3.168349929181858826e+01
1.830000000000000000e+02,3.229399927817284777e+01
1.840000000000000000e+02,3.428399923369288160e+01
1.850000000000000000e+02,3.046149931913241815e+01
1.860000000000000000e+02,2.640749940974637866e+01
1.870000000000000000e+02,3.228049927847460054e+01
1.880000000000000000e+02,2.904149935087189149e+01
1.890000000000000000e+02,2.993549933088943504e+01
1.900000000000000000e+02,2.928549934541806721e+01
1.910000000000000000e+02,3.011149932695552778e+01
1.920000000000000000e+02,3.274549926808104061e+01
1.930000000000000000e+02,3.147799929641187333e+01
1.940000000000000000e+02,2.816799937039613866e+01
1.950000000000000000e+02,2.873949935762211538e+01
1.960000000000000000e+02,3.054999931715428829e+01
1.970000000000000000e+02,3.309749926021322608e+01
1.980000000000000000e+02,2.656549940621480488e+01
1.990000000000000000e+02,2.822299936916679286e+01
2.000000000000000000e+02,3.051949931783601500e+01
2.010000000000000000e+02,3.198499928507953882e+01
2.020000000000000000e+02,3.242399927526712133e+01
2.030000000000000000e+02,3.316399925872683241e+01
2.040000000000000000e+02,3.277249926747754216e+01
2.050000000000000000e+02,3.087649930985644531e+01
2.060000000000000000e+02,3.297349926298484490e+01
2.070000000000000000e+02,3.003449932867660976e+01
2.080000000000000000e+02,3.188249928737059236e+01
2.090000000000000000e+02,2.871949935806915022e+01
2.100000000000000000e+02,2.847199936360120631e+01
2.110000000000000000e+02,3.153749929508194327e+01
2.120000000000000000e+02,2.710399939417839121e+01
2.130000000000000000e+02,2.741949938712641455e+01
2.140000000000000000e+02,2.849549936307594322e+01
2.150000000000000000e+02,2.847399936355650496e+01
2.160000000000000000e+02,2.970449933605268455e+01
2.170000000000000000e+02,3.119499930273741484e+01
2.180000000000000000e+02,2.999799932949245118e+01
2.190000000000000000e+02,2.894049935312941813e+01
2.200000000000000000e+02,2.931699934471398450e+01
2.210000000000000000e+02,2.793549937559291862e+01
2.220000000000000000e+02,2.623849941352382231e+01
2.230000000000000000e+02,2.730799938961863660e+01
2.240000000000000000e+02,3.066849931450560618e+01
2.250000000000000000e+02,2.868649935880675983e+01
2.260000000000000000e+02,2.798449937449768044e+01
2.270000000000000000e+02,3.017699932549148656e+01
2.280000000000000000e+02,2.918699934761971093e+01
2.290000000000000000e+02,3.000249932939186692e+01
2.300000000000000000e+02,2.820649936953559589e+01
2.310000000000000000e+02,2.987999933212995529e+01
2.320000000000000000e+02,2.857749936124309897e+01
2.330000000000000000e+02,3.101049930686131262e+01
2.340000000000000000e+02,2.954449933962896324e+01
2.350000000000000000e+02,2.921349934702739048e+01
2.360000000000000000e+02,2.556299942862242602e+01
2.370000000000000000e+02,2.806149937277659845e+01
2.380000000000000000e+02,2.571649942519143295e+01
2.390000000000000000e+02,2.574999942444264889e+01
2.400000000000000000e+02,2.655699940640479184e+01
2.410000000000000000e+02,2.880099935624748397e+01
2.420000000000000000e+02,3.123449930185451962e+01
2.430000000000000000e+02,2.793649937557056617e+01
2.440000000000000000e+02,2.749499938543885946e+01
2.450000000000000000e+02,2.973749933531507850e+01
2.460000000000000000e+02,2.819049936989322447e+01
2.470000000000000000e+02,2.539799943231046342e+01
2.480000000000000000e+02,2.570549942543730282e+01
2.490000000000000000e+02,2.519699943680316068e+01
2.500000000000000000e+02,2.606299941744655513e+01
2.510000000000000000e+02,2.433399945609271597e+01
2.520000000000000000e+02,2.713449939349666096e+01
2.530000000000000000e+02,2.606449941741302467e+01
2.540000000000000000e+02,2.434349945588037301e+01
2.550000000000000000e+02,2.374199946932494498e+01
2.560000000000000000e+02,2.419899945911020112e+01
2.570000000000000000e+02,2.361599947214126516e+01
2.580000000000000000e+02,2.150199951939284659e+01
2.590000000000000000e+02,1.811749959504231811e+01
2.600000000000000000e+02,2.327049947986379408e+01
2.610000000000000000e+02,2.530049943448975824e+01
2.620000000000000000e+02,1.991299955490976714e+01
2.630000000000000000e+02,2.456849945085123110e+01
2.640000000000000000e+02,2.979049933413043760e+01
2.650000000000000000e+02,2.428099945727735687e+01
2.660000000000000000e+02,2.073399953655898642e+01
2.670000000000000000e+02,2.174499951396137476e+01
2.680000000000000000e+02,2.465199944898485995e+01
2.690000000000000000e+02,2.496449944199994064e+01
2.700000000000000000e+02,2.320149948140606355e+01
2.710000000000000000e+02,1.995499955397099257e+01
2.720000000000000000e+02,1.932049956815317415e+01
2.730000000000000000e+02,1.902549957474693798e+01
2.740000000000000000e+02,2.180749951256439090e+01
2.750000000000000000e+02,1.784649960109964084e+01
2.760000000000000000e+02,1.943199956566095210e+01
2.770000000000000000e+02,2.108299952875822925e+01
2.780000000000000000e+02,2.465349944895133305e+01
2.790000000000000000e+02,2.302099948544055152e+01
2.800000000000000000e+02,2.440449945451691605e+01
2.810000000000000000e+02,2.041799954362213754e+01
2.820000000000000000e+02,2.097649953113868904e+01
2.830000000000000000e+02,2.438249945500865579e+01
2.840000000000000000e+02,1.780499960202723742e+01
2.850000000000000000e+02,1.769949960438534475e+01
2.860000000000000000e+02,1.784749960107728839e+01
2.870000000000000000e+02,1.900399957522749972e+01
2.880000000000000000e+02,2.452949945172294832e+01
2.890000000000000000e+02,2.436599945537745882e+01
2.900000000000000000e+02,2.449449945250525928e+01
2.910000000000000000e+02,2.318949948167428232e+01
2.920000000000000000e+02,2.304549948489293598e+01
2.930000000000000000e+02,2.276249949121847749e+01
2.940000000000000000e+02,2.403399946279823851e+01
2.950000000000000000e+02,2.267499949317425489e+01
2.960000000000000000e+02,2.480199944563209868e+01
2.970000000000000000e+02,2.559099942799657512e+01
2.980000000000000000e+02,2.309749948373064399e+01
2.990000000000000000e+02,2.548849943028762866e+01
3.000000000000000000e+02,2.736699938829988099e+01
3.010000000000000000e+02,2.667099940385669399e+01
3.020000000000000000e+02,2.923149934662506055e+01
3.030000000000000000e+02,2.787799937687814378e+01
3.040000000000000000e+02,2.618949941461905695e+01
3.050000000000000000e+02,2.762199938260018683e+01
3.060000000000000000e+02,2.845349936401471425e+01
3.070000000000000000e+02,2.630899941194802594e+01
3.080000000000000000e+02,2.361399947218597006e+01
3.090000000000000000e+02,2.353799947388470315e+01
3.100000000000000000e+02,2.435649945558980178e+01
3.110000000000000000e+02,2.665849940413609076e+01
3.120000000000000000e+02,2.836599936597049165e+01
3.130000000000000000e+02,2.496599944196641374e+01
3.140000000000000000e+02,2.794349937541410256e+01
3.150000000000000000e+02,2.866299935933202647e+01
3.160000000000000000e+02,3.271449926877394176e+01
3.170000000000000000e+02,2.712299939375370883e+01
3.180000000000000000e+02,3.010649932706728649e+01
3.190000000000000000e+02,2.667799940370023393e+01
3.200000000000000000e+02,2.973249933542683721e+01
3.210000000000000000e+02,2.933299934435635947e+01
3.220000000000000000e+02,2.928299934547394656e+01
3.230000000000000000e+02,2.743549938676878952e+01
3.240000000000000000e+02,2.918049934776500010e+01
3.250000000000000000e+02,3.143649929733946990e+01
3.260000000000000000e+02,3.300399926230311110e+01
3.270000000000000000e+02,3.184449928821995712e+01
3.280000000000000000e+02,3.022549932440742992e+01
3.290000000000000000e+02,3.219999928027391434e+01
3.300000000000000000e+02,3.163649929286912155e+01
3.310000000000000000e+02,2.831749936705455184e+01
3.320000000000000000e+02,3.125649930136278343e+01
3.330000000000000000e+02,3.161899929326027703e+01
3.340000000000000000e+02,2.912199934907257415e+01
3.350000000000000000e+02,2.817599937021732259e+01
3.360000000000000000e+02,3.096199930794536925e+01
3.370000000000000000e+02,2.889899935405701470e+01
3.380000000000000000e+02,3.152699929531663514e+01
3.390000000000000000e+02,3.307449926072731472e+01
3.400000000000000000e+02,3.289049926484003805e+01
3.410000000000000000e+02,2.961299933809787177e+01
3.420000000000000000e+02,2.810049937190488123e+01
3.430000000000000000e+02,3.000099932942539382e+01
3.440000000000000000e+02,3.042999931983649731e+01
3.450000000000000000e+02,2.890749935386702418e+01
3.460000000000000000e+02,2.921349934702739048e+01
3.470000000000000000e+02,3.014049932630732798e+01
3.480000000000000000e+02,3.152099929545074630e+01
3.490000000000000000e+02,3.132449929984286285e+01
3.500000000000000000e+02,3.294649926358833625e+01
3.510000000000000000e+02,2.971949933571740843e+01
3.520000000000000000e+02,2.843299936447292708e+01
3.530000000000000000e+02,2.774749937979504466e+01
3.540000000000000000e+02,2.599599941894411970e+01
3.550000000000000000e+02,2.649949940769001699e+01
3.560000000000000000e+02,2.705549939526245140e+01
3.570000000000000000e+02,2.538349943263456154e+01
3.580000000000000000e+02,2.670149940317496728e+01
3.590000000000000000e+02,2.580549942320212864e+01
3.600000000000000000e+02,2.557249942841008306e+01
3.610000000000000000e+02,2.719949939204379774e+01
3.620000000000000000e+02,2.893899935316294503e+01
3.630000000000000000e+02,2.667749940371140838e+01
3.640000000000000000e+02,2.833799936659634255e+01
3.650000000000000000e+02,2.846799936369061612e+01
3.660000000000000000e+02,2.669199940338730670e+01
3.670000000000000000e+02,2.985549933267757439e+01
3.680000000000000000e+02,2.871099935825914073e+01
3.690000000000000000e+02,2.641699940953403569e+01
3.700000000000000000e+02,2.834249936649575830e+01
3.710000000000000000e+02,3.170199929140508033e+01
3.720000000000000000e+02,3.013299932647496604e+01
3.730000000000000000e+02,3.241599927544594095e+01
3.740000000000000000e+02,3.210849928231910155e+01
3.750000000000000000e+02,3.165199929252266742e+01
3.760000000000000000e+02,3.426549923410639309e+01
3.770000000000000000e+02,3.321099925767630623e+01
3.780000000000000000e+02,3.373799924589693688e+01
3.790000000000000000e+02,3.256199927218258239e+01
3.800000000000000000e+02,3.200649928459897353e+01
3.810000000000000000e+02,3.327049925634637617e+01
3.820000000000000000e+02,3.278999926708638668e+01
3.830000000000000000e+02,3.215049928138032698e+01
3.840000000000000000e+02,3.249949927357956625e+01
3.850000000000000000e+02,3.342899925280362083e+01
3.860000000000000000e+02,3.454249922791495919e+01
3.870000000000000000e+02,3.261749927094206214e+01
3.880000000000000000e+02,3.077799931205809258e+01
3.890000000000000000e+02,3.063399931527674269e+01
3.900000000000000000e+02,3.029899932276457619e+01
3.910000000000000000e+02,3.183699928838759519e+01
3.920000000000000000e+02,3.316749925864860415e+01
3.930000000000000000e+02,3.152499929536134005e+01
3.940000000000000000e+02,2.791099937614053417e+01
3.950000000000000000e+02,2.778599937893450189e+01
3.960000000000000000e+02,2.881149935601279211e+01
3.970000000000000000e+02,3.091899930890649628e+01
3.980000000000000000e+02,2.883549935547635101e+01
3.990000000000000000e+02,3.064749931497499347e+01
4.000000000000000000e+02,3.119299930278211974e+01
4.010000000000000000e+02,2.908599934987723756e+01
4.020000000000000000e+02,3.035149932159110975e+01
4.030000000000000000e+02,2.921349934702739048e+01
4.040000000000000000e+02,3.196599928550422121e+01
4.050000000000000000e+02,3.026399932354688715e+01
4.060000000000000000e+02,3.267499926965683699e+01
4.070000000000000000e+02,2.851549936262890839e+01
4.080000000000000000e+02,3.109499930497258902e+01
4.090000000000000000e+02,2.990449933158233620e+01
4.100000000000000000e+02,3.203999928385019302e+01
